Artist;Track;Danceability;Energy;Duration_min;Views;Likes
50 Cent;21 Questions;576.0;807.0;374.045;5.03248572E8;2759199.0
Coldplay;A Sky Full of Stars;545.0;675.0;446.445;7.86404613E8;3741300.0
Daft Punk;Around the World;956.0;795.0;0.0;3.8218353E7;466569.0
AC/DC;Back In Black;0.31;0.7;0.0;9.15158054E8;5643694.0
50 Cent;Best Friend - Remix;545.0;0.64;424.155;291023.0;5729.0
Linkin Park;Bleed It Out;529.0;967.0;0.0;1.35176149E8;762715.0
Linkin Park;BURN IT DOWN;585.0;972.0;383.755;3.53135986E8;2534190.0
Red Hot Chili Peppers;By the Way;451.0;0.97;361.555;1.79005296E8;784717.0
Red Hot Chili Peppers;Californication;592.0;767.0;549.555;1.018811259E9;4394471.0
Red Hot Chili Peppers;Can't Stop;618.0;938.0;0.0;3.36635759E8;1740224.0
50 Cent;Candy Shop;614.0;574.0;0.0;8.3897465E8;5014527.0
Gorillaz;Clint Eastwood;663.0;694.0;5682.0;6.18480958E8;6197318.0
Gorillaz;Cracker Island (feat. Thundercat);741.0;913.0;3.5625;2.445982E7;739527.0
Linkin Park;Crawling;0.58;702.0;0.0;3.74506972E8;2197293.0
Radiohead;Creep;515.0;0.43;0.0;7.63497849E8;4777393.0
Pericles;Cupido;0.0;0.0;0.0;0.0;0.0
Red Hot Chili Peppers;Dani California;556.0;913.0;0.0;3.24228662E8;1456622.0
Gorillaz;DARE;0.76;891.0;0.0;2.59021161E8;1844658.0
Red Hot Chili Peppers;Dark Necessities;0.7;742.0;0.0;4.40037964E8;2094182.0
Daft Punk;Digital Love;644.0;664.0;0.0;3.007939E7;203063.0
AC/DC;Dirty Deeds Done Dirt Cheap;668.0;906.0;386.555;852728.0;14044.0
Gorillaz;Dirty Harry;625.0;877.0;0.0;1.54761056E8;1386920.0
50 Cent;Disco Inferno;925.0;659.0;357.045;3.9825951E7;382791.0
BTS;DNA;0.0;0.0;0.0;0.0;0.0
Black Eyed Peas;DON'T YOU WORRY;831.0;868.0;0.0;1.44690551E8;1327396.0
Metallica;Enter Sandman (Remastered);566.0;834.0;5526.0;5.73553706E8;2828795.0
Radiohead;Exit Music (For A Film);293.0;276.0;0.0;1.0644157E7;171322.0
Linkin Park;Faint;554.0;978.0;2.71;3.78323695E8;2061834.0
Radiohead;Fake Plastic Trees;463.0;229.0;0.0;6.1340263E7;398951.0
Gorillaz;Feel Good Inc.;818.0;705.0;0.0;6.93555221E8;6220896.0
Coldplay;Fix You;209.0;417.0;492.555;5.66239229E8;2962029.0
Metallica;For Whom The Bell Tolls (Remastered);512.0;0.86;0.0;2.3666398E7;274106.0
Daft Punk;Get Lucky (feat. Pharrell Williams & Nile Rodgers);0.81;793.0;616.045;3.2310867E7;956073.0
Daft Punk;Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit;794.0;811.0;0.0;3.2310867E7;956073.0
Black Eyed Peas;GIRL LIKE ME;965.0;485.0;0.0;6.62529115E8;5488829.0
Red Hot Chili Peppers;Give It Away;666.0;936.0;0.0;8.6637926E7;434837.0
Daft Punk;Harder, Better, Faster, Stronger;817.0;716.0;0.0;1.2130888E8;1329678.0
AC/DC;Hells Bells;389.0;873.0;0.0;2.52038354E8;1067479.0
Radiohead;High and Dry;419.0;383.0;0.0;80290.0;2133.0
AC/DC;Highway to Hell;574.0;913.0;0.0;2.74830901E8;2039258.0
Coldplay;Hymn for the Weekend;491.0;693.0;430.445;1.828242112E9;1.3515772E7
Black Eyed Peas;I Gotta Feeling;744.0;766.0;0.0;6.38267058E8;3670416.0
50 Cent;If I Can't;892.0;631.0;0.0;46096.0;612.0
50 Cent;In Da Club;902.0;0.72;322.445;1.682616458E9;1.0481678E7
Linkin Park;In the End;556.0;864.0;0.0;1.487186392E9;1.0183387E7
Daft Punk;Instant Crush (feat. Julian Casablancas);775.0;585.0;5626.0;6.06828966E8;3111505.0
50 Cent;Is This Love ('09) (feat. 50 Cent);853.0;776.0;353.355;5289821.0;245935.0
AC/DC;It's a Long Way to the Top (If You Wanna Rock 'N' Roll);456.0;863.0;502.045;102527.0;1881.0
Radiohead;Jigsaw Falling Into Place;462.0;832.0;0.0;2.639873E7;180969.0
Radiohead;Just;291.0;767.0;0.0;1.5041854E7;146328.0
50 Cent;Just A Lil Bit;489.0;692.0;0.0;4.76133463E8;2523312.0
Black Eyed Peas;Just Can�t Get Enough;659.0;628.0;0.0;2.92211575E8;1594576.0
Radiohead;Karma Police;0.36;501.0;0.0;8.9246405E7;593396.0
Daft Punk;Lose Yourself to Dance (feat. Pharrell Williams);832.0;659.0;0.0;1.95983803E8;1115598.0
Metallica;Lux �terna;386.0;996.0;3428.0;1.4937918E7;473751.0
50 Cent;Many Men (Wish Death);653.0;826.0;427.045;4.41155628E8;2765887.0
Metallica;Master of Puppets (Remastered);539.0;828.0;0.0;2.076291E7;293409.0
Black Eyed Peas;Meet Me Halfway;798.0;629.0;473.955;4.58724349E8;2094991.0
Coldplay;My Universe;573.0;711.0;0.0;2.5465597E8;8867547.0
Gorillaz;New Gold (feat. Tame Impala and Bootie Brown);695.0;923.0;0.0;8435055.0;282142.0
Gorillaz;New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix;716.0;897.0;0.0;451996.0;11686.0
Radiohead;No Surprises;255.0;393.0;0.0;1.67847274E8;1274934.0
Metallica;Nothing Else Matters (Remastered);547.0;394.0;0.0;1.209806093E9;5127599.0
Radiohead;Nude;516.0;342.0;425.645;1.2205514E7;124486.0
Linkin Park;Numb;496.0;863.0;0.0;1.928733776E9;1.2341722E7
Linkin Park;Numb / Encore;687.0;793.0;0.0;4.4436981E7;226771.0
Gorillaz;On Melancholy Hill;689.0;739.0;0.0;2.11754952E8;1788577.0
Metallica;One (Remastered);438.0;687.0;0.0;524.0;18.0
Daft Punk;One More Time;613.0;697.0;0.0;4.32177586E8;2707992.0
Linkin Park;One Step Closer;492.0;969.0;0.0;1.54808291E8;1102031.0
Red Hot Chili Peppers;Otherside;458.0;795.0;0.0;6.73528656E8;3140356.0
50 Cent;P.I.M.P.;0.7;758.0;0.0;5.72659065E8;3334710.0
Linkin Park;Papercut;524.0;939.0;0.0;2.40834555E8;1400306.0
Coldplay;Paradise;449.0;585.0;0.0;1.665814269E9;8497224.0
Mamonas Assassinas;Pelados em Santos;0.0;0.0;0.0;0.0;0.0
Black Eyed Peas;Pump It;649.0;931.0;0.0;7.55836314E8;4746197.0
Black Eyed Peas;Pump It Louder;0.66;942.0;264.285;2099141.0;61252.0
Gorillaz;Rhinestone Eyes;676.0;703.0;0.0;7.2011645E7;1079128.0
Black Eyed Peas;RITMO (Bad Boys For Life);732.0;716.0;0.0;1.021503328E9;6398855.0
Mamonas Assassinas;Robocop Gay;1.2;0.0;0.0;0.0;0.0
AC/DC;Rock N Roll Train;547.0;931.0;435.845;1.8237531E7;119749.0
Metallica;Sad But True (Remastered);624.0;876.0;5.41;7.2737062E7;418124.0
Red Hot Chili Peppers;Scar Tissue;595.0;717.0;359.845;4.3512153E8;1890900.0
Metallica;Screaming Suicide;425.0;972.0;550.755;4317758.0;217109.0
Gorillaz;She's My Collar (feat. Kali Uchis);726.0;815.0;0.0;1010982.0;17675.0
AC/DC;Shoot to Thrill;457.0;904.0;529.045;1.72293392E8;642344.0
Red Hot Chili Peppers;Snow (Hey Oh);427.0;0.9;0.0;3.20871237E8;1272266.0
Daft Punk;Something About Us;875.0;475.0;0.0;7.7464307E7;723914.0
Coldplay;Something Just Like This;617.0;635.0;0.0;2.118018686E9;1.0282499E7
Coldplay;Sparks;371.0;268.0;0.0;7.3201019E7;787343.0
AC/DC;T.N.T.;754.0;759.0;0.0;2.40908491E8;934797.0
Coldplay;The Scientist;557.0;442.0;5.16;1.082588109E9;5532787.0
Metallica;The Unforgiven (Remastered);531.0;583.0;0.0;4.26125708E8;1781690.0
Michael Jackson;Thriller;0.0;0.0;0.0;0.0;0.0
AC/DC;Thunderstruck;502.0;0.89;0.0;1.22422606E9;5989128.0
Red Hot Chili Peppers;Under the Bridge;559.0;345.0;0.0;2.46687714E8;1213572.0
Daft Punk;Veridis Quo;605.0;687.0;0.0;2.398407E7;216822.0
Coldplay;Viva La Vida;486.0;617.0;403.955;7.89581468E8;4370461.0
Radiohead;Weird Fishes/ Arpeggi;531.0;0.61;0.0;1.5335499E7;125774.0
Linkin Park;What I've Done;623.0;0.93;0.0;5.87927093E8;3370635.0
Black Eyed Peas;Where Is The Love?;834.0;699.0;0.0;8.88076529E8;4899065.0
Metallica;Whiskey In The Jar;511.0;972.0;508.155;1.07553434E8;429797.0
Coldplay;Yellow;429.0;661.0;0.0;8.32532409E8;4600933.0
AC/DC;You Shook Me All Night Long;532.0;767.0;0.0;2.79117834E8;1348845.0
